site,date,start_hour,peak_wind_speed
2410,2017-08-17,21,6.9
2410,2017-08-17,22,7.8
2410,2017-08-17,23,6.1
2410,2017-08-18,0,6.1
2410,2017-08-18,1,6.4
2410,2017-08-18,2,6.3
2410,2017-08-18,3,7.2
2410,2017-08-18,4,5.5
2410,2017-08-18,5,5.4
2410,2017-08-18,6,5.3
2410,2017-08-18,7,5.4
2410,2017-08-18,8,4.7
2410,2017-08-18,9,5.6
2410,2017-08-18,10,6.2
2410,2017-08-18,11,6.3
2410,2017-08-18,12,7.6
2410,2017-08-18,13,7.5
2410,2017-08-18,14,8.8
2410,2017-08-18,15,9.7
2410,2017-08-18,16,9.4
2410,2017-08-18,17,10.3
2410,2017-08-18,18,9.1
2410,2017-08-18,19,7.9
2410,2017-08-18,20,6.0
2410,2017-08-18,21,6.6
2410,2017-08-18,22,7.4
2410,2017-08-18,23,6.5
2410,2017-08-19,0,6.3
2410,2017-08-19,1,5.5
2410,2017-08-19,2,5.0
2410,2017-08-19,3,4.2
2410,2017-08-19,4,5.8
2410,2017-08-19,5,6.0
2410,2017-08-19,6,5.3
2410,2017-08-19,7,5.4
2410,2017-08-19,8,5.6
2410,2017-08-19,9,5.5
2410,2017-08-19,10,7.5
2410,2017-08-19,11,8.4
2410,2017-08-19,12,9.4
2410,2017-08-19,13,10.0
2410,2017-08-19,14,9.9
2410,2017-08-19,15,10.5
2410,2017-08-19,16,11.3
2410,2017-08-19,17,9.9
2410,2017-08-19,18,9.5
2410,2017-08-19,19,7.3
2410,2017-08-19,20,8.3
2410,2017-08-19,21,8.7
2410,2017-08-19,22,9.4
2410,2017-08-19,23,9.9
2410,2017-08-20,0,8.2
2410,2017-08-20,1,7.9
2410,2017-08-20,2,8.1
2410,2017-08-20,3,7.0
2410,2017-08-20,4,8.9
2410,2017-08-20,5,7.4
2410,2017-08-20,6,6.0
2410,2017-08-20,7,6.6
2410,2017-08-20,8,6.6
2410,2017-08-20,9,7.8
2410,2017-08-20,10,8.8
2410,2017-08-20,11,9.1
2410,2017-08-20,12,9.9
2410,2017-08-20,13,10.5
2410,2017-08-20,14,10.9
2410,2017-08-20,15,10.3
2410,2017-08-20,16,10.4
2410,2017-08-20,17,9.3
2410,2017-08-20,18,8.6
2410,2017-08-20,19,8.7
2410,2017-08-20,20,7.0
2410,2017-08-20,21,7.4
2410,2017-08-20,22,7.9
2410,2017-08-20,23,7.8
2410,2017-08-21,0,6.2
2410,2017-08-21,1,6.5
2410,2017-08-21,2,6.2
2410,2017-08-21,3,6.2
2410,2017-08-21,4,5.1
2410,2017-08-21,5,5.3
2410,2017-08-21,6,7.4
2410,2017-08-21,7,8.0
2410,2017-08-21,8,9.1
2410,2017-08-21,9,9.1
2410,2017-08-21,10,9.5
2410,2017-08-21,11,9.4
2410,2017-08-21,12,8.9
2410,2017-08-21,13,8.9
2410,2017-08-21,14,9.4
2410,2017-08-21,15,9.5
2410,2017-08-21,16,9.7
2410,2017-08-21,17,9.2
2410,2017-08-21,18,9.4
2410,2017-08-21,19,8.3
2410,2017-08-21,20,8.2
2410,2017-08-21,21,5.5
2410,2017-08-21,22,5.2
2410,2017-08-21,23,3.9
2410,2017-08-22,0,5.1
2410,2017-08-22,1,4.6
2410,2017-08-22,2,4.7
2410,2017-08-22,3,5.4
2410,2017-08-22,4,4.5
2410,2017-08-22,5,4.0
2410,2017-08-22,6,4.6
2410,2017-08-22,7,4.8
2410,2017-08-22,8,5.6
2410,2017-08-22,9,5.5
2410,2017-08-22,10,5.9
2410,2017-08-22,11,6.1
2410,2017-08-22,12,5.9
2410,2017-08-22,13,5.9
2410,2017-08-22,14,6.7
2410,2017-08-22,15,7.3
2410,2017-08-22,16,8.3
2410,2017-08-22,17,7.0
2410,2017-08-22,18,6.1
2410,2017-08-22,19,6.8
